Source;Target;Type;Label;Weight
[H]Miami;[C]Orlando;directed;1313.2;1.0373556352050977
[H]Washington D.C.;[C]Orlando;directed;799.68;1.0227479091995222
[H]Arlington;[C]Port of Spain;directed;1108.8;1.0315412186379929
[H]Las Vegas;[C]Port of Spain;directed;1844.32;1.0524640154747682
[H]Billings;[C]San Francisco;directed;86.96;1.00247368720487
[H]Charleston;[C]San Francisco;directed;184.2;1.0052398020139957
[H]Grants Pass;[C]San Francisco;directed;82.28;1.0023405586846448
[H]Las Vegas;[C]San Francisco;directed;418.73;1.011911304545713
[H]Lexington;[C]San Francisco;directed;101.92;1.0028992433293509
[H]Los Angeles;[C]San Francisco;directed;81.35;1.0023141036581897
[H]Minneapolis;[C]San Francisco;directed;75.74;1.0021545201115094
[H]Nashville;[C]San Francisco;directed;69.19;1.001968197075724
[H]Orlando;[C]San Francisco;directed;72.0;1.002048131080389
[H]San Rafael;[C]San Francisco;directed;917.28;1.0260931899641577
[H]Seattle;[C]San Francisco;directed;302.68;1.0086101154918359
[H]Sunnyvale;[C]San Francisco;directed;75.74;1.0021545201115094
[H]Miami;[C]Singapore;directed;66.03;1.0018783068783068
[H]Thousand Oaks;[C]Singapore;directed;93.0;1.0026455026455026
[H]Alexandria;[C]Barbados;directed;103.23;1.002936507936508
[H]Houston;[C]Barbados;directed;79.98;1.0022751322751322
[H]Monterey;[C]Barbados;directed;1269.45;1.0361111111111112
[H]Oahu, Honolulu;[C]Barbados;directed;1682.37;1.0478571428571428
[H]Key Largo;[C]Buenos Aires;directed;1023.0;1.029100529100529
[H]Las Vegas;[C]Coral Gables;directed;36.1;1.001026910166695
[H]Las Vegas;[C]Dhaka;directed;206.37;1.0058704557091653
[H]Las Vegas;[C]Dorset;directed;800.78;1.022779200091028
[H]Maui, Lahaina;[C]Dorset;directed;17789.5;1.5060448313136485
[H]New Orleans;[C]Dorset;directed;1237.98;1.0352159071513911
[H]Los Angeles;[C]Dublin;directed;77.08;1.0021926381066166
[H]Burlingame;[C]Grapevine;directed;81.27;1.0023118279569891
[H]Federal Way;[C]Grapevine;directed;95.45;1.002715195994766
[H]Las Vegas;[C]Grapevine;directed;3062.64;1.087120669056153
[H]Miami;[C]Grapevine;directed;263.66;1.007500142231325
[H]Phoenix;[C]Grapevine;directed;457.38;1.013010752688172
[H]Las Vegas;[C]Guangzhou;directed;90.24;1.0025669909540877
[H]Aurora;[C]Hong Kong Sar;directed;72.68;1.0020674745405929
[H]Golden;[C]Hong Kong Sar;directed;103.96;1.002957273709962
[H]Hammond;[C]Hong Kong Sar;directed;115.0;1.0032713204756216
[H]Huntington Beach;[C]Hong Kong Sar;directed;775.56;1.0220617852875917
[H]Las Vegas;[C]Manila;directed;275.12;1.007826136428287
[H]Atlanta;[C]Meads Bay;directed;97.97;1.0027868805825795
[H]Fernandina Beach;[C]Meads Bay;directed;112.52;1.003200773738408
[H]Hilton Head Island;[C]Meads Bay;directed;2436.64;1.0693133071627696
[H]Hollywood;[C]Meads Bay;directed;214.37;1.0060980258292087
[H]Kenner;[C]Meads Bay;directed;93.12;1.0026489161973033
[H]Las Vegas;[C]Meads Bay;directed;433.64;1.0123354383569438
[H]Pasadena;[C]Meads Bay;directed;173.63;1.0049391249928885
[H]Phoenix;[C]Meads Bay;directed;170.72;1.0048563463617226
[H]St. Louis;[C]Meads Bay;directed;364.72;1.0103749217727713
[H]Grand Canyon;[C]Moscow;directed;99.64;1.0028343858451385
[H]Los Angeles;[C]Moscow;directed;2741.04;1.0779723502304148
[H]Portland;[C]Moscow;directed;87.42;1.0024867724867725
[H]Bentonville;[C]Orlando;directed;64.0;1.0018205609603459
[H]Las Vegas;[C]Orlando;directed;94.08;1.0026762246117085
[H]Scottsdale;[C]Orlando;directed;60.29;1.0017150253171758
[H]Las Vegas;[C]Port of Spain;directed;861.04;1.0244933720202538
[H]Maui Kahului;[C]Port of Spain;directed;142.3;1.0040479035102692
[H]Coldwater;[C]San Francisco;directed;67.32;1.0019150025601637
[H]Hanover;[C]San Francisco;directed;370.28;1.0105330830062014
[H]Humble;[C]San Francisco;directed;77.61;1.0022077146270694
[H]Kansas City;[C]San Francisco;directed;68.26;1.001941742049269
[H]Laguna Beach;[C]San Francisco;directed;63.58;1.0018086135290436
[H]Las Vegas;[C]San Francisco;directed;290.14;1.0082533993286682
[H]Los Angeles;[C]San Francisco;directed;1542.75;1.0438854753370883
[H]Matteson;[C]San Francisco;directed;82.28;1.0023405586846448
[H]Miami Beach;[C]San Francisco;directed;840.59;1.0239116459008932
[H]North Las Vegas;[C]San Francisco;directed;33.66;1.000957501280082
[H]Sunnyvale;[C]San Francisco;directed;79.48;1.0022609091426296
[H]West Hollywood;[C]San Francisco;directed;175.78;1.00500028446265
[H]Weston;[C]San Francisco;directed;92.57;1.0026332707515504
[H]Fort Lee;[C]Singapore;directed;321.78;1.0091534391534391
[H]Pasadena;[C]Singapore;directed;301.32;1.0085714285714287
[H]San Diego;[C]Singapore;directed;81.84;1.0023280423280423
[H]Philadelphia;[C]Barbados;directed;120.9;1.0034391534391534
[H]Boston;[C]Coral Gables;directed;93.1;1.0026483472720031
[H]Las Vegas;[C]Dhaka;directed;1206.96;1.0343335040109234
[H]Austin;[C]Dorset;directed;913.68;1.0259907834101383
[H]Las Vegas;[C]Dorset;directed;5156.28;1.1466769073220686
[H]Burlingame;[C]Grapevine;directed;446.04;1.0126881720430108
[H]Chantilly;[C]Grapevine;directed;52.92;1.001505376344086
[H]Key West;[C]Grapevine;directed;610.48;1.0173658758604995
[H]Lake Buena Vista;[C]Grapevine;directed;1488.42;1.0423399897593446
[H]Las Vegas;[C]Grapevine;directed;631.17;1.0179544290834612
[H]Minneapolis;[C]Grapevine;directed;76.55;1.0021775615861637
[H]Boulder City;[C]Hong Kong Sar;directed;80.04;1.0022768390510326
